Service ID,Customer ID,Count_serv,Quarter_serv,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Count_status,Quarter_status,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Count_demo,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,Count_loc,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,segment
UGUIMLXCU8431,9514-JDSKI,1,Q3,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,YZFWSV3242,1,Q3,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services,1,Male,77,No,Yes,Yes,No,0,HXBPUB8358,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,253,350.0,habitual_defaulter
NBOGLPTZV7277,7273-TEFQD,1,Q3,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,MDETXO4922,1,Q3,2,Churned,Yes,1,96,2314,Price,Long distance charges,1,Male,67,No,Yes,No,No,0,XXRHYW1737,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,262,350.0,habitual_defaulter
YOBKZFGVQ5899,3606-TWKGI,1,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,BEGOJN9758,1,Q3,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices,1,Male,68,No,Yes,No,No,0,YKMAHQ1326,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,263,350.0,habitual_defaulter
VHJDHJCGG5893,4385-GZQXV,1,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,JLJPDE1341,1,Q3,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices,1,Female,68,No,Yes,No,No,0,SHPSYY8543,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,272,350.0,habitual_defaulter
HXMLQEOHF5921,3488-PGMQJ,1,Q3,No,0,8,nan,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,OHPSLR4475,1,Q3,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,1,Male,66,No,Yes,No,No,0,LQYOZM6288,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,290,350.0,habitual_defaulter
WWYEWXVSH6917,7534-BFESC,1,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,GQOQWC2393,1,Q3,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer,1,Male,69,No,Yes,No,No,0,GUJJRB3775,1,United States,California,San Diego,92122,"32.85723, -117.209754",32.85723,-117.209774,373,350.0,habitual_defaulter
OSQCMMHHH1332,8098-LLAZX,1,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,OFKDMH9951,1,Q3,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer,1,Female,74,No,Yes,No,No,0,SPEIWA8191,1,United States,California,San Diego,92122,"32.85723, -117.209756",32.85723,-117.209774,373,350.0,habitual_defaulter
FZQAVWHSH9565,0265-EDXBD,1,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,GHCFVK8885,1,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person,1,Male,76,No,Yes,Yes,No,0,TMYNPD3367,1,United States,California,San Diego,92122,"32.85723, -117.209757",32.85723,-117.209774,373,350.0,critical
PLOCHMGQJ6697,2840-XANRC,1,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.45,DSIMCQ4621,1,Q3,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer,1,Male,77,No,Yes,Yes,No,0,FVSDWS6986,1,United States,California,San Diego,92122,"32.85723, -117.209760",32.85723,-117.209774,373,350.0,habitual_defaulter
XNJUYZUTW5958,5020-ZSTTY,1,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,DHXVBL4276,1,Q3,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer,1,Female,70,No,Yes,No,No,0,XGSMIZ5526,1,United States,California,San Diego,92122,"32.85723, -117.209761",32.85723,-117.209774,373,350.0,critical
ATPTIBSWE9432,5804-LEPIM,1,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,ZIEQWD5744,1,Q3,3,Churned,Yes,1,73,2671,Other,Don't know,1,Female,74,No,Yes,No,No,0,TFIMDC4432,1,United States,California,San Diego,92122,"32.85723, -117.209762",32.85723,-117.209774,373,350.0,habitual_defaulter
WIKKPUBDD5531,0623-IIHUG,1,Q3,No,0,21,nan,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,GQQMMS7744,1,Q3,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer,1,Female,77,No,Yes,No,No,0,IWJVDJ8317,1,United States,California,San Diego,92122,"32.85723, -117.209770",32.85723,-117.209774,373,350.0,habitual_defaulter
TKRBOHAOA4185,9057-MSWCO,1,Q3,No,0,27,nan,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,GUGTBO6929,1,Q3,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer,1,Male,71,No,Yes,Yes,No,0,KSVXVQ7798,1,United States,California,San Diego,92122,"32.85723, -117.209772",32.85723,-117.209774,373,350.0,habitual_defaulter
OGTGVNIAI7862,4895-TMWIR,1,Q3,Yes,1,11,nan,Yes,29.54,No,No,nan,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,OEYWPL2828,1,Q3,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer,1,Male,79,No,Yes,Yes,No,0,RZCEVV7274,1,United States,California,San Diego,92122,"32.85723, -117.209778",32.85723,-117.209774,373,350.0,habitual_defaulter
CEAETMXKC1258,0533-BNWKF,1,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.8,NMPICW5172,1,Q3,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer,1,Female,66,No,Yes,Yes,No,0,FZOAQK4769,1,United States,California,San Diego,92122,"32.85723, -117.209779",32.85723,-117.209774,373,350.0,critical
HXAWDMKNC7727,0334-GDDSO,1,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,LCTGJR7639,1,Q3,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer,1,Male,77,No,Yes,No,No,0,RAYIIP3272,1,United States,California,San Diego,92122,"32.85723, -117.209784",32.85723,-117.209774,373,350.0,habitual_defaulter
RHOKWKGPI1159,5564-NEMQO,1,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,EFSJFW2561,1,Q3,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability,1,Female,80,No,Yes,No,No,0,LVATLE5584,1,United States,California,Thermal,92274,"33.53604, -116.119222",33.53604,-116.119222,421,350.0,habitual_defaulter
HWTSHHROX7538,6235-VDHOM,1,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,UNLRRA7673,1,Q3,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services,1,Female,77,No,Yes,No,No,0,XUECCC9855,1,United States,California,Riverside,92509,"34.004379, -117.447864",34.004379,-117.447864,503,350.0,habitual_defaulter
PAOHKXQGG8796,5609-CEBID,1,Q3,No,0,20,nan,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,WQCCWE6768,1,Q3,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices,1,Female,77,No,Yes,No,No,0,KEOVXW8355,1,United States,California,Hemet,92544,"33.644585, -116.871544",33.644585,-116.871544,510,350.0,habitual_defaulter
IAGYVDOMQ4746,5956-VKDTT,1,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,QTRLCS8221,1,Q3,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction,1,Female,72,No,Yes,Yes,No,0,KHFBXS6415,1,United States,California,Moreno Valley,92557,"33.970661, -117.255039",33.970661,-117.255039,517,350.0,critical
BKPCFHKQJ2592,0257-ZESQC,1,Q3,Yes,2,27,nan,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,LGNAAI6835,1,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person,1,Female,80,No,Yes,Yes,No,0,LQJXOB2518,1,United States,California,Perris,92571,"33.828289, -117.201666",33.828289,-117.201666,523,350.0,habitual_defaulter
PYCXBVFEW4691,2865-TCHJW,1,Q3,No,0,4,nan,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,QVCKEA1534,1,Q3,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices,1,Female,74,No,Yes,No,No,0,UUDUTT2316,1,United States,California,Anaheim,92807,"33.848733, -117.788357",33.848733,-117.788357,587,350.0,critical
URLOXFYPV4252,5192-EBGOV,1,Q3,No,0,1,nan,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,RINVCK3782,1,Q3,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices,1,Female,68,No,Yes,No,No,0,MJCOHU2835,1,United States,California,Brea,92823,"33.924143, -117.79387",33.924143,-117.79387,590,350.0,habitual_defaulter
LTNYKEMKS4853,3419-SNJJD,1,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,WZSVYG6552,1,Q3,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person,1,Female,78,No,Yes,Yes,No,0,MNSWNB3438,1,United States,California,Yorba Linda,92887,"33.884073, -117.732197",33.884073,-117.732197,614,350.0,critical
ILBWOZEYA6786,4554-YGZIH,1,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.08,5670.33,KZZHRZ2348,1,Q3,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer,1,Male,75,No,Yes,Yes,No,0,VXMGHP1745,1,United States,California,Summerland,93067,"34.420998, -119.60137",34.420998,-119.60137,634,576.0,critical
JTARJQLPF4989,5099-BAILX,1,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.26,CVUUUK5972,1,Q3,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer,1,Male,77,No,Yes,Yes,No,0,QVQYJH5147,1,United States,California,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,635,350.0,critical
CGZXKNJTP7197,4913-EHYUI,1,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.45,IYFTSS3523,1,Q3,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds,1,Male,80,No,Yes,Yes,No,0,FPZGUA9175,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771,643,350.0,critical
RHEBGFFVR4517,1626-ERCMM,1,Q3,Yes,7,20,nan,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,YHCEYV9468,1,Q3,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices,1,Male,75,No,Yes,Yes,No,0,GSXUMR4988,1,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458,-118.591951,650,191.0,critical
NOEPUJTIG3795,5644-PDMZC,1,Q3,No,0,2,nan,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,BALQIW2979,1,Q3,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person,1,Female,69,No,Yes,No,No,0,WMFYXY5456,1,United States,California,Delano,93215,"35.772244, -119.209689",35.772244,-119.209689,653,350.0,habitual_defaulter
NGGLWVAEL7229,4160-AMJTL,1,Q3,No,0,8,nan,Yes,27.95,No,No,nan,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,GOFNCE2167,1,Q3,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person,1,Female,74,No,Yes,No,No,0,MVZYVA7772,1,United States,California,Fellows,93224,"35.215731, -119.57013",35.215731,-119.57013,660,626.0,habitual_defaulter
SVCSCKAFM9875,0823-HSCDJ,1,Q3,No,0,52,nan,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,YHDSJE8591,1,Q3,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer,1,Male,76,No,Yes,No,No,0,FNJTWP6581,1,United States,California,Temecula,92592,"33.507255, -117.029473",33.507255,-117.029473,532,350.0,habitual_defaulter
PVFXVSVGO9463,0067-DKWBL,1,Q3,No,0,2,nan,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,PFDTBW9847,1,Q3,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer,1,Male,69,No,Yes,No,No,0,WVFRVJ6162,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,379,350.0,habitual_defaulter
LWGDPAKFW2516,5244-IRFIH,1,Q3,Yes,1,33,nan,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,RZBCFN3616,1,Q3,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support,1,Male,72,No,Yes,Yes,No,0,NZIHDA2973,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,379,350.0,critical
DALFULBZT8863,2684-EIWEO,1,Q3,No,0,30,nan,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,RISQKQ8866,1,Q3,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer,1,Female,69,No,Yes,No,No,0,EUUIBC2684,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,379,350.0,critical
DACKMGISE2794,6683-VLCTZ,1,Q3,No,0,20,nan,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,YOEBSY6292,1,Q3,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer,1,Male,73,No,Yes,No,No,0,QXUNJR2953,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,379,350.0,critical
YNAKWSEIW1482,0691-IFBQW,1,Q3,No,0,46,nan,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.82,TEYSZL2724,1,Q3,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer,1,Female,65,No,Yes,No,No,0,OXKGRU3523,1,United States,California,Biola,93606,"36.798882, -120.019511",36.798882,-120.019511,794,807.0,critical
TJIJNJILG6631,3643-AHCFP,1,Q3,Yes,1,7,nan,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,VEMTOD4929,1,Q3,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer,1,Male,74,No,Yes,Yes,No,0,JGTOPO6375,1,United States,California,Selma,93662,"36.545322, -119.642281",36.545322,-119.642281,835,350.0,habitual_defaulter
LLOAXAHDO7297,9231-ZJYAM,1,Q3,No,0,4,nan,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,FRTVGQ8355,1,Q3,3,Churned,Yes,1,72,5301,Other,Moved,1,Female,65,No,Yes,No,No,0,USLRYU5682,1,United States,California,Squaw Valley,93675,"36.719141, -119.202677",36.719141,-119.202677,843,350.0,habitual_defaulter
SRGHHHNTP9554,0727-BMPLR,1,Q3,No,0,55,nan,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.2,WDOXMV5263,1,Q3,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds,1,Female,66,No,Yes,No,No,0,TJLFXQ4369,1,United States,California,Fresno,93706,"36.654614, -119.903674",36.654614,-119.903674,849,350.0,critical
EYMYXVDAB2137,0947-MUGVO,1,Q3,Yes,1,20,nan,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,DNYEON2965,1,Q3,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices,1,Male,71,No,Yes,Yes,No,0,ZVYTWF4636,1,United States,California,Jolon,93928,"35.930782, -121.189757",35.930782,-121.189757,871,254.0,habitual_defaulter
